stage,time,roi,area_px,bg_mode,bg_scope,clip_neg,bg_stride,ch2_bg,ch2_color,ch2_mean,ch2_median,ch2_npx,ch2_p,ch2_p5,ch2_p95,ch2_std,ch2_vmax,ch2_vmin,ch2_vsum,ch3_bg,ch3_color,ch3_mean,ch3_median,ch3_npx,ch3_p,ch3_p5,ch3_p95,ch3_std,ch3_vmax,ch3_vmin,ch3_vsum,stage_idx,time_idx,roi_lab,roi_id
S01,,1,40641,percentile,full,True,4,26.0,Green,1380.3431396484375,342.0,40641,1.0,21.0,4069.0,1624.9237060546875,4069.0,0.0,56098524.0,91.0,Red,81.1534652709961,77.0,40641,1.0,32.0,143.0,34.035400390625,311.0,0.0,3298158.0,1,0,s1c1,S01_roi1
S01,,2,26021,percentile,full,True,4,26.0,Green,20.061065673828125,20.0,26021,1.0,8.0,34.0,8.09687328338623,58.0,0.0,522009.0,91.0,Red,75.01467895507812,72.0,26021,1.0,32.0,131.0,30.02398681640625,239.0,0.0,1951957.0,1,0,s1c2,S01_roi2
S01,,3,25644,percentile,full,True,4,26.0,Green,852.6676635742188,172.0,25644,1.0,11.0,3531.849609375,1184.258056640625,4069.0,0.0,21865810.0,91.0,Red,78.64128112792969,75.0,25644,1.0,31.0,139.0,32.79072952270508,232.0,0.0,2016677.0,1,0,s1c3,S01_roi3
S01,,4,21338,percentile,full,True,4,26.0,Green,303.4656066894531,59.0,21338,1.0,13.0,1401.150390625,472.75225830078125,3395.0,0.0,6475349.0,91.0,Red,87.8363037109375,77.0,21338,1.0,32.0,184.0,45.74128341674805,316.0,0.0,1874251.0,1,0,s1c4,S01_roi4
S01,,5,34809,percentile,full,True,4,26.0,Green,131.2452850341797,42.0,34809,1.0,9.0,506.0,175.9791259765625,1472.0,0.0,4568517.0,91.0,Red,91.00930786132812,81.0,34809,1.0,32.0,176.0,46.62917709350586,514.0,0.0,3167943.0,1,0,s1c5,S01_roi5
S01,,6,30105,percentile,full,True,4,26.0,Green,1158.3218994140625,230.0,30105,1.0,16.0,4069.0,1469.515380859375,4069.0,0.0,34871280.0,91.0,Red,123.23065948486328,78.0,30105,1.0,15.0,372.0,114.3059310913086,933.0,0.0,3709859.0,1,0,s1c6,S01_roi6
S01,,7,24441,percentile,full,True,4,26.0,Green,52.532344818115234,27.0,24441,1.0,9.0,167.0,85.64085388183594,1186.0,0.0,1283943.0,91.0,Red,77.16128540039062,71.0,24441,1.0,29.0,144.0,38.73114776611328,525.0,0.0,1885899.0,1,0,s1c7,S01_roi7
S01,,8,35793,percentile,full,True,4,26.0,Green,23.18766212463379,22.0,35793,1.0,9.0,41.0,9.638642311096191,106.0,0.0,829956.0,91.0,Red,171.50636291503906,92.0,35793,1.0,37.0,578.0,209.2025146484375,1862.0,0.0,6138727.0,1,0,s1c8,S01_roi8
S01,,9,18337,percentile,full,True,4,26.0,Green,20.611059188842773,20.0,18337,1.0,8.0,35.0,8.246647834777832,57.0,0.0,377945.0,91.0,Red,538.552490234375,162.0,18337,1.0,43.0,2363.0,797.1814575195312,4004.0,0.0,9875437.0,1,0,s1c9,S01_roi9
S01,,10,17787,percentile,full,True,4,26.0,Green,19.537809371948242,19.0,17787,1.0,7.0,34.0,8.208413124084473,58.0,0.0,347519.0,91.0,Red,142.72378540039062,98.0,17787,1.0,34.0,434.0,130.808837890625,1566.0,0.0,2538628.0,1,0,s1c10,S01_roi10
S01,,11,22427,percentile,full,True,4,26.0,Green,20.154590606689453,20.0,22427,1.0,7.0,35.0,8.43887710571289,76.0,0.0,452007.0,91.0,Red,276.4131774902344,121.0,22427,1.0,38.0,989.0,324.8426513671875,2081.0,0.0,6199118.0,1,0,s1c11,S01_roi11
